Date,Open,High,Low,Close,Adj Close,Stock,Year,Month
2016-01-04,102.61,105.37,102.0,105.35,97.94,Apple,2016,1
2016-01-05,105.75,105.85,102.41,102.71,95.49,Apple,2016,1
2016-01-06,100.56,102.37,99.87,100.7,93.62,Apple,2016,1
2016-01-07,98.68,100.13,96.43,96.45,89.67,Apple,2016,1
2016-01-08,98.55,99.11,96.76,96.96,90.14,Apple,2016,1
2016-01-11,98.97,99.06,97.34,98.53,91.6,Apple,2016,1
2016-01-12,100.55,100.69,98.84,99.96,92.93,Apple,2016,1
2016-01-13,100.32,101.19,97.3,97.39,90.54,Apple,2016,1
2016-01-14,97.96,100.48,95.74,99.52,92.52,Apple,2016,1
2016-01-15,96.2,97.71,95.36,97.13,90.3,Apple,2016,1
2016-01-19,98.41,98.65,95.5,96.66,89.86,Apple,2016,1
2016-01-20,95.1,98.19,93.42,96.79,89.98,Apple,2016,1
2016-01-21,97.06,97.88,94.94,96.3,89.53,Apple,2016,1
2016-01-22,98.63,101.46,98.37,101.42,94.29,Apple,2016,1
2016-01-25,101.52,101.53,99.21,99.44,92.45,Apple,2016,1
2016-01-26,99.93,100.88,98.07,99.99,92.96,Apple,2016,1
2016-01-27,96.04,96.63,93.34,93.42,86.85,Apple,2016,1
2016-01-28,93.79,94.52,92.39,94.09,87.47,Apple,2016,1
2016-01-29,94.79,97.34,94.35,97.34,90.49,Apple,2016,1
2016-02-01,96.47,96.71,95.4,96.43,89.65,Apple,2016,2
2016-02-02,95.42,96.04,94.28,94.48,87.83,Apple,2016,2
2016-02-03,95.0,96.84,94.08,96.35,89.57,Apple,2016,2
2016-02-04,95.86,97.33,95.19,96.6,90.29,Apple,2016,2
2016-02-05,96.52,96.92,93.69,94.02,87.88,Apple,2016,2
2016-02-08,93.13,95.7,93.04,95.01,88.8,Apple,2016,2
2016-02-09,94.29,95.94,93.93,94.99,88.78,Apple,2016,2
2016-02-10,95.92,96.35,94.1,94.27,88.11,Apple,2016,2
2016-02-11,93.79,94.72,92.59,93.7,87.58,Apple,2016,2
2016-02-12,94.19,94.5,93.01,93.99,87.85,Apple,2016,2
2016-02-16,95.02,96.85,94.61,96.64,90.33,Apple,2016,2
2016-02-17,96.67,98.21,96.15,98.12,91.71,Apple,2016,2
2016-02-18,98.84,98.89,96.09,96.26,89.97,Apple,2016,2
2016-02-19,96.0,96.76,95.8,96.04,89.77,Apple,2016,2
2016-02-22,96.31,96.9,95.92,96.88,90.55,Apple,2016,2
2016-02-23,96.4,96.5,94.55,94.69,88.5,Apple,2016,2
2016-02-24,93.98,96.38,93.32,96.1,89.82,Apple,2016,2
2016-02-25,96.05,96.76,95.25,96.76,90.44,Apple,2016,2
2016-02-26,97.2,98.02,96.58,96.91,90.58,Apple,2016,2
2016-02-29,96.86,98.23,96.65,96.69,90.37,Apple,2016,2
2016-03-01,97.65,100.77,97.42,100.53,93.96,Apple,2016,3
2016-03-02,100.51,100.89,99.64,100.75,94.17,Apple,2016,3
2016-03-03,100.58,101.71,100.45,101.5,94.87,Apple,2016,3
2016-03-04,102.37,103.75,101.37,103.01,96.28,Apple,2016,3
2016-03-07,102.39,102.83,100.96,101.87,95.21,Apple,2016,3
2016-03-08,100.78,101.76,100.4,101.03,94.43,Apple,2016,3
